1???? ??????? ???????(??? ?????????),dep_601390
????? ??????? - ???? ??? ???? ??????? ????????,dep_10354
???????,dep_600256
??????,dep_13152
?????? ?????,dep_600633
?????? ?????,dep_11193
??????? ??????,dep_10362
??????? ???????,dep_10350
??????? ???????,dep_10363
??????? ????? (????),dep_11603
???????,dep_10616
??????? ,dep_10240
?????? ,dep_10934
?????????,dep_17003
???????,dep_17930
??????? ??? ?????? ???????,dep_13156
????????,dep_16406
???????? ???????,dep_600266
 ???????? ?????,dep_11156
???????? ?????,dep_11479
??????,dep_12298
??????,dep_13418
???????? ,dep_16404
????????,dep_16426
???????,dep_16410
???????,dep_600272
???????,dep_17924
??????? ?????,dep_11339
?????? ????? (????),dep_601343
?????? ?????,dep_11036
??????,dep_601528
?????,dep_600681
????? ?????,dep_601195
??????,dep_601357
?????? ?????,dep_600638
?????? ?????,dep_11287
???????,dep_10925
???????,dep_10370
??????? _ ???? ????? _,dep_10796
?????,dep_10182
??????,dep_10223
?????? ?????,dep_601311
?????? ??????,dep_18313
?????? ?????,dep_11261
?????? ?????,dep_600825
????? (1),dep_12255
????? (2),dep_601485
????? ,dep_10437
????? ?????,dep_11541
????? ?????,dep_601129
 ????? ?????,dep_11108
???????,dep_12064
???????? ???????,dep_16978
??????,dep_10513
???????? ?????,dep_11312
???????,dep_10426
???????,dep_10870
???????,dep_12727
??????? ?????,dep_11478
 ??????? ?????,dep_11151
??????? ?????,dep_11365
?????,dep_16332
?????,dep_601426
??????,dep_600327
????? ?????,dep_11543
 ????? ?????,dep_11101
????? ?????,dep_11269
 ????? ?????,dep_11483
???????,dep_17104
???????,dep_17109
??????,dep_10805
??????- ???? ???????,dep_10183
???????-(2) - ???? ?????,dep_12211
???????? (1),dep_601447
???????? (2),dep_601502
???????? ,dep_10757
???????? ?????,dep_601305
????????,dep_17172
?????,dep_16911
??????,dep_17214
?????? (???? ?? ????),dep_18284
????????,dep_600185
???????,dep_10366
 ??????? ,dep_11144
???????? ????????,dep_600519
???????? ?????,dep_601059
??????,dep_10656
???????,dep_12903
??????? ?????,dep_601429
 ??????? - ?????,dep_11173
?????? - ?????,dep_601022
?????? - ?????,dep_601023
??????? - ??????? ???????,dep_10901
?? ??????? ??????? (1) - ??????,dep_11809
 ?? ??????? ??????? ??????- ?????,dep_11320
?? ??????? ??????? ???????,dep_600036
?? ??????? ??????,dep_10440
 ?? ??? ?? ?????,dep_11245
?? ?????? ?????????,dep_11111
 ?? ?????? ????????? ?????,dep_11110
?? ????? ?????,dep_11246
?? ?????? ?????,dep_14303
?? ?????,dep_16323
 ?? ????? ??? ?????? - ?????,dep_11280
?? ????? ??? ?????? - ??????,dep_11859
 ?? ?????? ??????? ?????,dep_11142
?? ???????? ???? ??? ???? ????,dep_18136
 ?? ???????? ???? ??? ???,dep_11250
?? ???????? ???? ??? ??? ?????,dep_11659
?? ???????? ?????,dep_601358
?? ???????? ????? ??? ???? ???? ,dep_17433
 ?? ???????? ????? ?????,dep_11154
?? ??????? ????? ??? ?????? - ?????,dep_11385
?? ?????? ??? ??? ?? ??????,dep_11408
?? ?????? ??? ??? ?? ?????? ?????,dep_600721
?? ?????? ??? ??? ?? ?????? ?????,dep_11951
???? ?????? ,dep_10446
???? ??????,dep_16163
???? ??????,dep_17218
????? ??? ??? ????? ?????,dep_11103
????? ??? ?????,dep_16330
?? ???,dep_601360
?? ??? ?????,dep_601256
?? ???? ?????,dep_11229
?? ???? ,dep_17900
?? ???? ????????? ????? ,dep_601238
?? ???? ????????? ?????,dep_11292
?? ???? ????????? ?????,dep_11960
?? ???? ?????????,dep_12415
?? ???? ????????? ?????,dep_11433
?? ??? ??????? ?????,dep_600403
?? ????,dep_601359
?? ???? ??????,dep_600497
?? ???? (?????),dep_600992
?? ????? ??? ???? ?????,dep_601236
?? ????,dep_16322
?? ????,dep_17625
 ?? ???? (??????) ?????,dep_11294
?? ???? ( ?????? ) ?????,dep_600921
 ?? ???? ?????? ?????,dep_11256
?? ???? ?????? ?????,dep_600704
?? ????,dep_10272
?? ???? ????????? - ??????,dep_11839
?? ???? ????????? - ??????,dep_11296
?? ???? ???????? ?????,dep_11207
?? ??? ??? ??? ????????,dep_11354
?? ???? ??? ??? ???? ???????? - ??????,dep_600647
?? ??? ??????,dep_10536
?? ?????????,dep_10711
?? ????????? ??????,dep_12270
?? ??????? ?????? ?????,dep_601245
?? ??????? ?????? ?????,dep_601241
?? ??? ???? ???????,dep_601405
?? ???? ?????????,dep_17987
?? ???? ????????? - ??????,dep_11172
?? ?????,dep_17630
?? ?????,dep_17631
?? ?????,dep_600345
 ?? ????? ????????? ?????,dep_11244
?? ????? ????????,dep_17869
?? ???? - ??????,dep_11889
?? ???? - ??????,dep_11850
 ?? ??? ????????,dep_601355
?? ??? ????????? ? (?????),dep_600370
?? ????? ,dep_600752
?? ????? ,dep_600753
?? ????? ?????,dep_11231
?? ????,dep_16172
 ?? ????,dep_11242
 ????? ???????? ?????,dep_11276
????? ???????? ?????,dep_600435
?? ???? ?????,dep_601514
?? ???? ?????,dep_11162
 ????? ??? ??? ?????,dep_11243
?? ???? ?????? 2,dep_600508
?? ???? ?????? ?????,dep_11168
??? ?? ?????,dep_16515
??? ?? ???? ,dep_10416
??? ?? ????,dep_16961
??? ?? ????,dep_17206
??? ?? ????,dep_600211
??? ?? ????,dep_600293
??? ?? ????,dep_601138
??? ?? ????,dep_601471
??? ?? ???? - ???? ??????? ????????,dep_601112
???????,dep_600351
???? ?????? ,dep_600177
???? ?????? (????? ????????),dep_13010
???? ??????,dep_601322
???? ???????,dep_12008
????,dep_600729
??????,dep_601275
???????,dep_600082
 ????,dep_10241
???,dep_10030
????? ??????,dep_600759
????? ?????,dep_11482
??? ?? ?????? ,dep_17036
???? ?? ??????,dep_600133
???? ?? ???? ,dep_10431
???? ?? ???? ,dep_10877
???? ?? ????,dep_12361
???? ?? ????,dep_12803
???? ?? ????,dep_16257
???? ?? ???? ,dep_16502
???? ?? ????,dep_600285
????? - ??????,dep_11284
?? ????? ,dep_600511
?? ????,dep_10524
?? ????,dep_600965
?? ????,dep_600652
?? ???,dep_600323
?? ????,dep_601021
?? ???? ,dep_17131
?? ??????,dep_600765
??? ?????? ??? ?????? ?????,dep_11115
??? ?????? ??? ?????? ?????,dep_600628
??? ?????? ??? ???? ????? ?????,dep_11542
??? ?????? ??? ???? ????? ?????,dep_11273
????? ?????? ?????? ??????? ,dep_600362
????? ?????? ?????? ?????,dep_600363
????? ?????? ?????? ?????? ,dep_600360
????? ?????? ???????,dep_601317
?????? ??????,dep_16183
 ????? ??? ??? ?????,dep_11138
???? ?? ???,dep_16212
???? ?? ???,dep_17022
???? ?? ???,dep_600220
?????? ???????,dep_18258
?????? ????,dep_18257
?????? ?????,dep_18259
????? ?? ??? ???????,dep_10346
???? ?? ??? ????,dep_16252
???? ?? ???????,dep_16364
???? ?? ???????,dep_16518
???? ?? ??????? ????????,dep_10802
???? ??????? ??????,dep_601521
???? ??? ???,dep_600261
???? ??? ??? - ???? ????? ????? ?????? ????????,dep_12789
???? ??? ??? ?????? (????????) -???? ??? ????????-,dep_12382
???? ??? ??????,dep_16058
???? ??? ??????,dep_601438
???? ??? ????? - ???? ??????? ????????,dep_10063
???? ??? ??? ??????,dep_10649
???? ?????? ??????,dep_601093
???? ??? ??? ?????? - ??? ??? ,dep_600389
???? ?????? ?????? - ???? ????? ????? ???????? ????????,dep_600406
???? ??? ???? ??????,dep_600132
???? ??? ??? ,dep_600410
???? ??? ??? ??????,dep_16318
???? ??? ??? ?????? ( ??? ?????? ),dep_600796
???? ??? ???????,dep_12022
???? ??? ??????? ????????,dep_600426
???? ??? ????? ?? ??????,dep_601252
???? ???? ?? ????????? ????????,dep_601422
???? ?????? ??????,dep_16855
???? ?????? ??????? ,dep_10607
???? ?????? ???? ?? ????,dep_16056
???? ??????? ???? ??? ??????? ??????,dep_600126
???? ?????? ???? ?? ???????,dep_601448
???? ?????? ?????,dep_10608
???? ?????? ?????,dep_600624
???? ?????? ?????,dep_600831
???? ?????? ??? ?? ???? ?? ????,dep_600928
???? ??????? ?????? ??? ?????????,dep_601412
???? ??????? ???? ?????? ?????? ,dep_601121
???? ??????? ????? ??? ?????????,dep_600006
????  ??????? _ ???? ??????? ????????,dep_10133
???? ??????,dep_17021
???? ??????,dep_600051
???? ????????,dep_16852
???? ??????,dep_13000
???? ???????,dep_10206
???? ??????,dep_10852
???? ??????,dep_16860
???? ??????? - ??????? ???????,dep_12740
???? ???????,dep_601461
???? ???????,dep_16861
???? ?????????,dep_16701
???? ????? ????,dep_600278
???? ??????? ,dep_17038
???? ??????,dep_18289
???? ??????,dep_12782
???? ???????,dep_12725
???? ??????? _ ???? ??????? ????????,dep_10592
???? ????????,dep_10898
???? ????????,dep_18287
???? ????????,dep_600181
???? ??????,dep_10177
???? ???????,dep_12235
???? ?????????  - ???? ?????,dep_10689
???? ??????,dep_600366
???? ?????? - ??? ?? ????,dep_10979
???? ??????? ,dep_601281
???? ??????? ????? - ???? ????? ,dep_10579
???? ??????,dep_600279
???? ?????? ??? ?????,dep_16309
???? ??????? ??????,dep_18301
???? ??????,dep_600412
???? ???????,dep_16263
???? ???????,dep_16850
???? ??????? - ???? ??? ?????? ????????,dep_601248
???? ??????,dep_16753
???? ????? ?????? ??????,dep_10839
???? ????? ???? ???????,dep_12820
???? ????? ????????? ?? ???? ??????,dep_601347
???? ????? ??????? ?? ???? ??? ?????,dep_600829
???? ????? ??? ?????? 2,dep_20000
???? ?????? 2 ????? ???? _ ???? ?????,dep_600946
???? ?????? - ???? ?????? ???????? ,dep_600915
???? ?????,dep_10949
???? ??????,dep_601493
???? ?????? ?? ??? ??????,dep_600047
???? ??????? ,dep_10612
???? ?????,dep_16059
???? ???????,dep_601503
???? ??????,dep_10250
???? ?? ??????,dep_10469
???? ?????,dep_16317
???? ??????,dep_601118
???? ???????,dep_601391
???? ??????,dep_600812
???? ?????? -???? ????? ???????,dep_600402
???? ????????,dep_17155
???? ??????- ???? ??????- ??????,dep_600195
???? ???????,dep_600483
???? ???????,dep_10188
???? ??????? - ?????? ??????,dep_10088
???? ?????,dep_12706
???? ?????? ?????,dep_600243
???? ???????,dep_601243
???? ???????,dep_10885
???? ???????,dep_16050
???? ???????,dep_16316
???? ??????? ???????,dep_16311
???? ??????,dep_16310
???? ??????,dep_18292
???? ????? ,dep_10603
???? ?????,dep_12778
???? ?????- ???? ?????,dep_600015
???? ???????,dep_13347
???? ??????,dep_600103
???? ????????,dep_600674
 ???? ??????? - ???? ??????? ????????,dep_10163
???? ??????,dep_16851
????  ??????,dep_12009
???? ???????,dep_16610
???? ???? ??? ??????,dep_600041
???? ????? ???? ,dep_10306
???? ????? ????,dep_10871
???? ????? ????,dep_18309
???? ????? ????? ?? ?????????,dep_12787
???? ????? ?????????,dep_16055
???? ????? ??? ??????,dep_17111
???? ????? ??? ??????,dep_17116
???? ????? - ???? ??????? ????????,dep_601403
???? ?????? - ???? ????? ????????,dep_600021
???? ?????? (????????),dep_600488
???? ?????,dep_600116
???? ??????? ???????,dep_10814
???? ?? ?????? ???????,dep_601291
???? ?? ???????? ?????,dep_11334
???? ?? ???? ??????,dep_13308
???? ???? ???????,dep_12188
???? ?? ???,dep_12730
???? ?? ???,dep_601467
???? ?? ????? / ???? ???? ?? ???? ???????? ????????,dep_10168
???? ?? ????  ,dep_10147
 ????? ????? ????,dep_601373
????? ????? ????(????? ???? ???????,dep_16903
????? ????? ????(??????),dep_16904
???? ???,dep_16857
???? ????? ???? ?? ?????,dep_601117
???? ??? ???????,dep_601442
???? ???? ????????,dep_601440
???? ???? ?? ??? - ???? ?????,dep_10159
???? ????,dep_600280
???? ???? ??????,dep_600367
???? ??? ???????,dep_601408
???? ??? ??????,dep_600072
???? ????? ???????,dep_601219
???? ??? ??????? - ??????? ???????,dep_12799
???? ????,dep_18295
???? ??? ??????? ??? ????? ,dep_600471
???? ????? ??????,dep_601444
???? ???? ???? ???????,dep_601247
???? ????? ??? ??? ??? ,dep_10597
???? ????????? ???????,dep_600836
???? ??? ?????? ?? ????,dep_18300
???? ????????? ??????,dep_16061
???? ??? ?????? ??????,dep_600939
???? ????????? ???????,dep_601457
???? ??????? ?? ????,dep_16051
???? ????????? ??????? ,dep_12023
???? ????? ?? ????,dep_12704
???? ????? ?? ???? - ???? ????? ????? ???????? ????????,dep_12400
???? ??? ??????,dep_10116
???? ??? ?? ??? ????,dep_17168
???? ??? ?? ??? ???? - ???? ????? ????? ???????? ????????,dep_10944
???? ???? ?? ???? ,dep_10396
???? ??? ?? ?????? ,dep_12292
???? ??? ?? ??????,dep_600042
???? ??? ?? ?????? - ???? ????? ????? ???????? ????????,dep_11049
???? ??? ??? ?????? - ????????,dep_17023
???? ??? ?? ?????????1 ??? ???? - ???? ????? ,dep_12809
???? ??? ?????? ,dep_600469
???? ??? ??????,dep_13345
???? ???? ???????? ,dep_601250
???? ???? ?? ???????,dep_16060
???? ???? ?? ???? ???? ??????? ????????,dep_10526
???? ???? ??????? ?????? ?????? ,dep_601294
???? ???? ???? ???,dep_16764
???? ??????,dep_18280
???? ????,dep_16856
???? ????? ???????,dep_13325
???? ??? ??????,dep_10374
???? ???,dep_17355
???? ????,dep_16607
???? ????,dep_16609
 ???? ???? ??????? ,dep_10842
???? ????,dep_601526
???? ????? ?????? ?????,dep_601479
???? ??????,dep_16859
???? ?????? ??? ?? ??? ??? ???? ???,dep_10815
???? ?? ????,dep_600212
???? ?? ??? ????,dep_10830
???? ?????? ??? ???? ???,dep_12493
???? ?? ??? ????,dep_12122
???? ?? ??? ????,dep_16501
???? ?? ??? ????,dep_17059
???? ?? ??? ????,dep_17251
???? ?? ??? ????,dep_600216
????? ??? ??? ???? ?????,dep_11653
????? ??? ??? ???? ?????,dep_601133
????? ????? ?????? ???????,dep_600582
??? ??????? ????????,dep_601480
 ?????? ??? ?????? ?????,dep_11239
???? ?? ??? ????? (???????),dep_600213
?????? ????? - ?????,dep_601376
?????? ????? ?????,dep_600395
???? ????? ?? ??????,dep_16452
????? ??? ??? ?????,dep_600686
????? ??? ??? ?????,dep_11331
????? ??? ??? ?????,dep_11210
????? ?? ?????? ,dep_10836
????? ?? ?????? ,dep_10862
????? ?? ??????,dep_16705
????? ?? ??????,dep_601242
????? ?? ?????? (???????),dep_16374
????? ?? ?????? ????? ?? ???? ????????,dep_600148
????? ?? ?????? (????? ?),dep_16372
???? ?? ???? (1),dep_10178
???? ?? ????  (2),dep_10179
???? ?? ????,dep_16205
???? ?? ????,dep_600218
???? ?? ????,dep_600282
???? ?? ????,dep_600794
???? ?? ????,dep_601148
???? ?? ???? ????? ??????,dep_600164
??? ??????,dep_11398
???? ?????????,dep_12186
??? ?????? ,dep_601278
??? ???????,dep_10847
??? ??????,dep_10007
??? ??????? ,dep_601470
??? ??? ?????? ??????,dep_600848
??? ?????? ??????,dep_601312
????,dep_13160
???? ??? ????? ?????,dep_601392
???? ??? ???,dep_17992
???? ??? ???,dep_600352
???? ??? ??? ????????,dep_17874
???? ??? ??? ?? ??????,dep_600459
???? ??? ??? ??? ???? ????,dep_17506
???? ??? ??? ?????,dep_11456
???? ??? ??? ?????,dep_11214
???? ??? ??? ?????,dep_600679
???? ??? ???,dep_17655
???? ???????? ????????,dep_601204
???? ?? ????,dep_600226
???? ?? ????-?????? ?????? - ??????,dep_600241
?????,dep_18282
?????,dep_18283
??? ???????,dep_10631
??? ?? ?????? - ???? ??????? ????????,dep_12325
??? ??? ?? ????,dep_11071
????? ??? ?????,dep_600390
????? ??? ???? ??????? ????? ??????,dep_10841
????? ????? ?????? ????? ?????? ??? ?? ??????? ?? ???? - ???? ??????? ????????,dep_10791
????? ???????,dep_17050
????? ?????? ?????? ????? ??????? ???? ??? ??? ??????,dep_10203
????? ??????? ?????? ??? ????????? ????? ????,dep_12352
????? ?????? ????? ??????? ???? ??? ??? - ???? ??????? ????????,dep_10765
????? ?????? ????? ???? ???????,dep_600938
????? ??????? - ???? ????????,dep_600180
????? ??????,dep_16003
????? ?????? ?????,dep_16450
????? ????? ???? ??? ?? ???? ,dep_10254
????? ????? ??????? ??????? ????? ??????,dep_11072
????? ?????? -???? ??? ????????-,dep_10651
????? ?????? ????? ??? ?????,dep_13151
????? ???????,dep_600744
????? ???????,dep_600803
????? ?????,dep_600742
????? ??????? ??????,dep_17301
????? ???????,dep_600766
????? ???????? ????? ?????? ?????????,dep_600404
????? ???????,dep_600088
????? ?? ?????,dep_16004
????? ????? ??????? ???????,dep_600142
????? ????? ?????? - ????? ?????? ??????,dep_600198
????? ???? ??? ????? ,dep_600798
????? ???? ????? ?? ???  ??? ???? ??? ,dep_10582
????? ???? ?????? ,dep_601488
????? ???? ??????,dep_10674
????? ???? ?? ???? ?? ?????? ???????,dep_16456
????? ???? ??????,dep_601266
????? ???? ??????,dep_11009
 ????? ???? ?????? - ???? ??????? ????????,dep_10751
????? ???? ?????,dep_11061
????? ???? ?????? - ?????? ????????,dep_10215
????? ???? ?????? ???????,dep_11380
????? ???? ??????,dep_600387
????? ???? ???? ??????,dep_12712
????? ???? ????,dep_16460
????? ???? ?????,dep_16470
????? ???? ??????? ?? ????? -??? ???? ???-,dep_10978
????? ???? ??? ?? ?????? ?????? ?????? ?????? ,dep_10170
????? ???? ?? ????? ????? ?? ?????,dep_10746
????? ??? ????? ????? ??????? ?? ???,dep_601178
????? ???? ??????,dep_13333
????? ??? ?? ???? ??????? ?????? ????????,dep_600146
????? ???? ??????,dep_600826
????? ?????,dep_16005
????? ???? ???????,dep_12242
????? ???? ????? ???????,dep_600797
????? ???? ?????,dep_600110
????? ???? ??? ????? ???????,dep_601339
????? ???? ???????,dep_601282
????? ???? ???? ??? ?? ????,dep_10777
????? ???? ??????,dep_17300
????? ??? ?????? ?? ???? ??????? ??????? ?????? ,dep_601298
????? ???? ?????? ,dep_10445
????? ????? ??? ??????,dep_600952
???? ??? ???,dep_16002
???? ??? ?????? ????? ?? ???? ??????,dep_16472
???? ??????? ??????,dep_601049
???? ??????? ????????,dep_601045
???? ??? ????? ???????? (????),dep_601047
???? ??? ???? ???????,dep_16552
???? ???? ?? ????,dep_600096
???? ???????  ( 2 ) ,dep_601164
???? ???????  ( 1 ) ,dep_600463
???? ?????,dep_600098
???? ???????,dep_17775
???? ???????,dep_600277
???? ?????? ?? ??????,dep_16555
???? ???????,dep_600094
???? ????? / ????????? ??? ???????,dep_601048
???? ????,dep_600100
???? ??????,dep_16216
???? ???????,dep_600097
???? ??????,dep_600101
???? ??????? ???????,dep_601015
???? ??? ?? ???? ? ????? ???????,dep_16560
???? ?? ????,dep_16558
???? ???? ?? ??? ????? (?????),dep_601052
???? ???? ?? ??? ????? (?????),dep_601051
???? ???? ?? ?????? ,dep_600095
???? ???? ?? ????,dep_600099
???? ??? ???? ?? ??????,dep_16554
???? ??????? ?? ???,dep_16551
???? ???? ?? ??????? (????),dep_601046
???? ????? ?? ?????? (????),dep_601050
???? ???? ?? ????,dep_16553
???? ?????,dep_601527
???? ????? / ???? ?? ???????,dep_601441
 ????? ??????? ?????,dep_11291
???? ??????,dep_601024
???? ???????,dep_600837
??? ??????,dep_10353
??? ?????,dep_601508
??? ??????,dep_10222
??? ??????? / ???? ??????,dep_601283
???? ??????,dep_17051
???? ?? ????????? (2) ,dep_10054
???? ?? ??? ??????,dep_10846
???? ?? ?????????,dep_13344
???? ?? ?????????,dep_16203
???? ?? ??? ?????? ,dep_17016
???? ?? ??? ??????,dep_600154
???? ?? ??? ??????,dep_600225
???? ?? ????????? (????? ?????) - ???? ??? ?????? ????????,dep_12142
???? ?? ????????? - ???????,dep_11045
???? ?? ????????? - ????? ??????,dep_10939
???? ??? ??? ?????,dep_11213
???? ??????? ?????? -??????? ?? ?????,dep_10295
???? ????????,dep_600173
???? ?????? - ??? ???,dep_11377
????? ?? ??? ????,dep_600447
???? ,dep_10380
 ???? ?????,dep_11263
?? ???????,dep_12366
?? ??????,dep_10200
?? ????? ????,dep_12049
?? ??? ??????,dep_12343
???? ??????? ???????? ????? ??????? ?? ?????????- ???? ??? ???? ??????? ????????,dep_600728
???? ?????? ???????,dep_16454
???? ??? ????,dep_12716
???? ???????,dep_600625
???? ???????,dep_13302
???? ?? ????? -???? ?? ???? - ???? ?? ???? - ???????,dep_600166
???? ?? ?????? ,dep_10128
???? ?? ?????? ,dep_10166
???? ?? ?????? ,dep_10962
???? ?? ??????,dep_11400
???? ?? ??????,dep_12025
???? ?? ??????,dep_16214
???? ?? ??????,dep_16264
???? ?? ??????,dep_16392
???? ?? ??????,dep_17253
???? ?? ??????,dep_600339
???? ?? ??????,dep_601494
???? ?? ?????? ( ???????? ),dep_10761
???? ?? ???,dep_16209
???? ?? ??? ???????,dep_10693
???? ?? ??? ?????,dep_11519
 ???? ?? ??? ?????,dep_11176
 ????? ?????? ? (??????),dep_11305
????? ??? ?????,dep_12372
?????  ??? ?????,dep_16320
????? ??? ?????,dep_17867
????? ??? ?????,dep_17932
????? ??? ?????,dep_17991
????? ??? ?????,dep_600205
????? ??? ?????,dep_600347
????? ??? ?????,dep_601407
????? ??? ????? ??? ???? ????,dep_17504
????? ??? ????? ?????,dep_600637
????? ??? ????? ?????,dep_601406
????? ??? ?????,dep_17654
?? ????????,dep_17870
?? ????????,dep_600348
???? ???????,dep_10708
???? ??????? ?????,dep_600432
 ???? ??? ????? ?????,dep_11289
???? ??? ????,dep_16324
???? ??? ???? ?????,dep_120
???? ??? ???? ?????,dep_11258
???? ??? ???? ?????,dep_11373
??? ??? ????,dep_17475
??? ??? ??? ??????,dep_17985
??? ????? ??? ??? ???- ?? ?????? - ????????,dep_600168
??? ????? ??? ???? ????,dep_17605
??? ??????? ????????,dep_601525
??? ????????,dep_17776
??? ????????,dep_600274
??? ???????,dep_17778
??? ???????,dep_600275
??? ??????? ???? - ??? - ???????,dep_600297
??? ??????,dep_17611
??? ??????,dep_17661
??? ??????,dep_17746
??? ?????? ????????,dep_17419
??? ?????? ????????,dep_17420
??? ??????? ????????,dep_18226
??? ???????,dep_17777
??? ???????,dep_600276
??? ?????? (??????),dep_11486
??? ?????? ??????,dep_17901
??? ??????? ???????? ?????? ??????,dep_600309
??? ???????,dep_17894
??? ????? ???????? ???????,dep_18016
??? ????? ???????? ??????????,dep_600781
??? ????? ???????? ??????? ????,dep_17834
??? ???????,dep_17984
 ??? ?????? - ??????,dep_11316
??? ????? ????????? ,dep_600358
??? ???????,dep_17898
??? ???????,dep_17474
??? ???????,dep_17600
??? ???????,dep_17656
??? ???????,dep_17744
??? ??????? ,dep_600782
??? ??????? ???????? ,dep_600368
??? ??????,dep_17565
??? ???????,dep_600201
??? ??????,dep_17902
??? ?????? ?????? ????????,dep_17415
??? ?????? ????????,dep_17416
??? ???????,dep_18224
??? ??????,dep_17403
??? ????? ????????,dep_17417
??? ????? ????????,dep_17418
??? ????? ???????? ??????????,dep_18015
??? ???????,dep_17745
??? ???????,dep_17774
??? ???????,dep_600273
??? ?????,dep_17421
??? ????? ??????? ?????,dep_17685
??? ?? ???????? ,dep_17608
??? ?? ???????? ????? ??? ??? ??? ??? ???? ????,dep_17716
??? ?? ???????? ?? ???? ??? ???? ????,dep_17718
??? ?? ???????? ?? ???? ??? ???? ???? ?????? ,dep_17447
??? ?? ???????? ?? ????,dep_17571
??? ?? ???????? ???? ??? ???? ????,dep_17715
??? ?? ???????? ???? ??? ???? ???? ????,dep_17448
??? ?? ???????? ?????,dep_17567
??? ?? ???????? ????? ??? ????? ??? ???? ????,dep_17717
??? ?? ???????? ???? ????????,dep_600457
??? ?? ???????? ????? ,dep_17477
??? ?? ???????? ????? ????????,dep_17570
??? ?? ???????? ????? ????????,dep_17564
??? ?? ???????? ????? ??? ???? ????,dep_17446
??? ?? ???????? ??????,dep_17566
??? ????? ??? ????? - ????????,dep_600288
??? ?? ????? ??? ???? ????,dep_17601
??? ?? ???? ??? ???? ????,dep_17607
??? ?? ???? ??? ???? ???? - ???? - ????????,dep_600296
??? ?? ????,dep_17404
??? ?? ????? ?????????,dep_17896
???? ????? ?????????,dep_600792
??? ?????? ??? ??????,dep_600114
???????,dep_17400
??? ???? ??? ???? ????,dep_17595
??? ????,dep_600723
??? ?????? ????????,dep_600698
??? ?????,dep_17401
??? ?????,dep_600724
??? ????? ??? ?????,dep_17478
??? ????? ??? ?????,dep_600115
??? ????? ??? ????? ????????,dep_18134
??? ????? ??? ????? - ???? ????,dep_17836
??? ????? ??? ???? ????,dep_17594
??? ???? ??? ????,dep_600121
??? ???? ??? ???? ????,dep_17610
??? ???? ??? ?????,dep_17609
??? ???? ??? ??? ?????,dep_600200
??? ???? ??? ???? ????,dep_17597
??? ???? ??? ????,dep_17895
??? ???? ??? ???? ????,dep_17604
??? ????,dep_17476
??? ???? ????????,dep_600438
??? ???? ??? ???? ????,dep_17602
??? ????? ??? ??? ??? ??? ???? ????,dep_17714
??? ????? ??? ??? ??? - ???? ?? ????,dep_17835
??? ????? ??? ?????? - ???? - ???????,dep_600295
??? ????? ??? ???? ????,dep_17596
??? ????? ??? ??? ??? ,dep_17659
??? ??????? ??????? ??????? ????????,dep_17684
??? ????? ??? ?????? - ?????? - ????????,dep_600287
??? ????? ??? ???? ???? ,dep_17445
??? ????? ??? ???? ????,dep_17598
??? ????? ??? ??????? ?????,dep_601486
??? ????? ??? ???? ????,dep_17606
??? ???,dep_17899
??? ????,dep_18225
??? ?????? ??? ???? ????,dep_17603
??? ????? ??? ???? ????,dep_17599
??? ????? ??? ?????? ????????,dep_17903
???? ???????,dep_12759
??? ???? ??? ???? ????,dep_600292
??? ?????,dep_17657
??? ??? ??? ???? (?????),dep_11869
??? ??? ??? ???? ?????,dep_601394
 ??? ??? ??? ???? ?????,dep_11227
??? ??? ??? ???? ?????,dep_11260
??? ??? ??? ???? (??????),dep_11854
??? ?????? ?????,dep_600830
???? ??????.?????,dep_601196
??? ????????,dep_10171
??? ????????,dep_17927
??? ????????,dep_600204
??? ???????? - ???? ?????? ????????,dep_12021
??? ???????? ?????,dep_11233
 ??? ???????? ?????,dep_11288
?? ???????,dep_601463
?? ??????? ,dep_10818
?? ???????,dep_10953
?? ??????? ????? ?? ???? _ ???? ?????? ??????,dep_10441
???? ??? ???? ???????,dep_10744
???? ?? ????,dep_16376
???? ?? ????,dep_600747
???? ?? ????,dep_600748
????? ?? ????,dep_16399
???? ??????,dep_601495
????? ?????,dep_600885
????? ?????,dep_11253
????,dep_16704
????? ???????,dep_600341
???? ??? ??????? ?????,dep_25001
???? ??? ??????? ?????,dep_11901
????? ???????? ?????,dep_11200
???? ?????,dep_600889
???? ?????,dep_11268
???? ??? ??????,dep_601437
????,dep_136
??? ?????? ????? ?????? ?????,dep_13003
????? ?????? (??????) ,dep_600151
???? ??????? ????????,dep_601520
???? ??????? ????????,dep_601505
???? ???????? ?????,dep_11232
???? ????? ????? - ??????,dep_11819
???? ??? ???????,dep_17569
???? ???? ?????,dep_11201
???? ??????,dep_18166
???? ?????? ?????,dep_11459
???? ?????? ?????,dep_600662
???? ?????? ?????,dep_601413
???? ????? ?????,dep_600758
???? ????? ?????,dep_11275
???? ???????? ,dep_10434
???? ???????? - ???? ???????,dep_600760
???? ???????? - ???? ???????,dep_600761
???? ???????? - ???? ???????,dep_600762
???? ???????? - ???? ???????,dep_600763
???? ???????? - ???? ???????,dep_600764
???? ?????? ?????,dep_601428
???? ??????? ?????,dep_11356
?????? ??? ??? ?????,dep_11462
??? ?????? - ??????,dep_11281
??? ??????,dep_601425
???? ??????,dep_601019
??? ?????,dep_17027
??? ?? ??????,dep_17258
??? ?? ????,dep_13118
??? ?? ????,dep_16258
??? ?? ????,dep_16514
??? ?? ????,dep_16807
??? ?? ????,dep_16985
